General Information;;;;;;Priority and Status;;Tester;;Additional Information;;Development System;;;Test System via. Transport + Refresh;;;;Test System via. Transport;S4;;ERP;;
22.7;2603;Material Status ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
23.1;;Personnel Area;Change;;3-Step;Low;error;Maxi;;see Open Topics;;;;;;;;;;;;;;
23.2;;Personnel Area;Create;;3-Step;Low;error;Maxi;;see Open Topics;;;;;;;;;;;;;;
23.3;;Personnel Area;File Download / Upload;;General;Low;;Patrick;;;;;;;;;;;;;;;;
23.4;;Personnel Area;Data Export / Import;;General;Low;;Patrick;;;;;;;;;;;;;;;;
23.5;;Personnel Area;Language Test;DE/EN;General;Low;;Maxi;;;;;;;;;;;;;;;;
23.6;;Personnel Area;Language Test;FR/ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
23.7;;Personnel Area;Language Test;ES;General;Medium;;Michael;;;;;;;;;;;;;;;;
24.1;;Business Area;Change;;2-Step;High;;Maxi;;;;;;;;;;;;;;;;
24.2;;Business Area;Create;;2-Step;High;;Maxi;;;;;;;;;;;;;;;;
24.3;;Business Area ;File Download / Upload;;General;Low;;Patrick;;;;;;;;;;;;;;;;
24.4;;Business Area ;Data Export / Import;;General;Low;;Patrick;;;;;;;;;;;;;;;;
24.5;;Business Area  ;Language Test;DE/EN;General;Low;;Maxi;;;;;;;;;;;;;;;;
24.6;;Business Area  ;Language Test;FR/ES;General;Low;;Ulla;;;;;;;;;;;;;;;;
24.7;;Business Area ;Language Test;ES;General;Medium;;Michael;;;;;;;;;;;;;;;;
25.1;2603;Functional Area;Change;;1-Step;Medium;error;Ulla;;see Open Topics;Exxon/Intel;;;;;;;;;;;;;
25.2;2603;Functional Area;Create;;1-Step;Medium;error;Ulla;;see Open Topics;Exxon/Intel;;;;;;;;;;;;;
25.3;2603;Functional Area ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
25.4;2603;Functional Area ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
25.5;2603;Functional Area  ;Language Test;DE/EN;General;Low;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
25.6;2603;Functional Area  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
25.7;2603;Functional Area ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
26.1;2603;Incoterm;Change;;2-Step;High;in progress;Maxi;;;Intel;open;open;;;;;;;;;;;
26.2;2603;Incoterm;Create;;2-Step;High;open;Maxi;;;Intel;;;;;;;;;;;;;
26.3;2603;Incoterm ;File Download / Upload;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
26.4;2603;Incoterm ;Data Export / Import;;General;High;open;Patrick;;;Intel;;;;;;;;;;;;;
26.5;2603;Incoterm  ;Language Test;DE/EN;General;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
26.6;2603;Incoterm  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
26.7;2603;Incoterm ;Language Test;ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
27.1;2603;Sales Group;Change;;2-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
27.2;2603;Sales Group;Create;;2-Step;Medium;open;Maxi;;;Intel;;;;;;;;;;;;;
27.3;2603;Sales Group ;File Download / Upload;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
27.4;2603;Sales Group ;Data Export / Import;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
27.5;2603;Sales Group  ;Language Test;DE/EN;General;Low;open;Maxi;;;Intel;;;;;;;;;;;;;
27.6;2603;Sales Group  ;Language Test;FR/ES;General;Low;open;Ulla;;;Intel;;;;;;;;;;;;;
